idx	pmid	cancer_name_from_study	cohortsize	cancer_class	gene	ensemblid	mutation_type	element	num_of_mutations	mutatedsamplesize	somatic	germline	evidencetype	evidencemethod	adult_cancer	project_code	data_source_url	cancer_category	primary_site	cancer_full_name	solid_tumor	cancertype	project_source	first_author_first_name	first_author_last_name	journal_name	year	cosmic
460	25261935	PanCancer	863	primary/metastatic	GTPBP4	ENSG00000107937	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
461	25261935	PanCancer	863	primary/metastatic	HBB	ENSG00000244734	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
462	25261935	PanCancer	863	primary/metastatic	HECW1	ENSG00000002746	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
463	25261935	PanCancer	863	primary/metastatic	HTR4	ENSG00000164270	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
464	25261935	PanCancer	863	primary/metastatic	KATNB1	ENSG00000140854	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
465	25261935	PanCancer	863	primary/metastatic	KIAA0922	ENSG00000121210	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
466	25261935	PanCancer	863	primary/metastatic	KIAA1109	ENSG00000138688	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
467	25261935	PanCancer	863	primary/metastatic	KIAA1324L	ENSG00000164659	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
468	25261935	PanCancer	863	primary/metastatic	KRT4	ENSG00000170477	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
469	25261935	PanCancer	863	primary/metastatic	LHX6	ENSG00000106852	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
470	25261935	PanCancer	863	primary/metastatic	LYSMD1	ENSG00000163155	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
471	25261935	PanCancer	863	primary/metastatic	MED31	ENSG00000108590	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
472	25261935	PanCancer	863	primary/metastatic	MEF2C	ENSG00000081189	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
473	25261935	PanCancer	863	primary/metastatic	MEGF8	ENSG00000105429	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
474	25261935	PanCancer	863	primary/metastatic	MGAM	ENSG00000259858	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
475	25261935	PanCancer	863	primary/metastatic	MROH5	ENSG00000226807	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
476	25261935	PanCancer	863	primary/metastatic	MROH6	ENSG00000204839	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
477	25261935	PanCancer	863	primary/metastatic	MUC7	ENSG00000171195	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
478	25261935	PanCancer	863	primary/metastatic	MYL1	ENSG00000168530	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
479	25261935	PanCancer	863	primary/metastatic	NPAS2	ENSG00000170485	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
480	25261935	PanCancer	863	primary/metastatic	NYAP2	ENSG00000144460	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
481	25261935	PanCancer	863	primary/metastatic	OR4M1	ENSG00000176299	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
482	25261935	PanCancer	863	primary/metastatic	PDE2A	ENSG00000186642	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
483	25261935	PanCancer	863	primary/metastatic	PDZD2	ENSG00000133401	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
484	25261935	PanCancer	863	primary/metastatic	PLG	ENSG00000122194	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
485	25261935	PanCancer	863	primary/metastatic	POU2F3	ENSG00000137709	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
486	25261935	PanCancer	863	primary/metastatic	PTPN1	ENSG00000196396	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
487	25261935	PanCancer	863	primary/metastatic	RAP1GAP	ENSG00000076864	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
488	25261935	PanCancer	863	primary/metastatic	RAPGEF4	ENSG00000091428	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
489	25261935	PanCancer	863	primary/metastatic	RIC3	ENSG00000166405	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
490	25261935	PanCancer	863	primary/metastatic	RIMBP2	ENSG00000060709	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
491	25261935	PanCancer	863	primary/metastatic	SCNM1	ENSG00000163156	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
492	25261935	PanCancer	863	primary/metastatic	SDHD	ENSG00000204370	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
493	25261935	PanCancer	863	primary/metastatic	SLC6A13	ENSG00000010379	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
494	25261935	PanCancer	863	primary/metastatic	SNRNP200	ENSG00000144028	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
495	25261935	PanCancer	863	primary/metastatic	SPATA2	ENSG00000158480	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
496	25261935	PanCancer	863	primary/metastatic	TAF11	ENSG00000064995	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
497	25261935	PanCancer	863	primary/metastatic	TIMM8B	ENSG00000150779	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
498	25261935	PanCancer	863	primary/metastatic	TLN2	ENSG00000171914	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
499	25261935	PanCancer	863	primary/metastatic	TMEM64	ENSG00000180694	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
500	25261935	PanCancer	863	primary/metastatic	TRBV7-8	ENSG00000261571	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
501	25261935	PanCancer	863	primary/metastatic	UNC13A	ENSG00000130477	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
502	25261935	PanCancer	863	primary/metastatic	ZNF227	ENSG00000131115	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
503	25261935	PanCancer	863	primary/metastatic	ZNF324	ENSG00000083812	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test (TFBS disruption)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
507	25261935	Skin Cutaneous Melanoma	13	metastatic	SDHD	ENSG00000204370	SNV	promoter	NA	13	Yes	No	gene expression association	negative binomial test	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Nils	Weinhold	Nature Genetics	2014	Yes
504	25261935	Bladder Urothelial Carcinoma	8	primary	PLEKHS1	ENSG00000148735	SNV	promoter	NA	8	Yes	No	gene expression association	negative binomial test	adult	NA	NA	Carcinoma	Bladder	Bladder Urothelial Carcinoma	solid	BLCA	TCGA	Nils	Weinhold	Nature Genetics	2014	No
505	25261935	Brain Lower Grade Glioma	8	primary	TERT	ENSG00000164362	SNV	promoter	NA	8	Yes	No	gene expression association	negative binomial test	adult	NA	NA	Carcinoma	Brain	Lower Grade Glioma	solid	LGG	TCGA	Nils	Weinhold	Nature Genetics	2014	Yes
506	25261935	PanCancer	12	primary/metastatic	PLEKHS1	ENSG00000148735	SNV	promoter	NA	12	Yes	No	gene expression association	negative binomial test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
508	25383969	PanCancer	505	primary	TERT	ENSG00000164362	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Fredriksson	Nature Genetics	2014	Yes
509	25383969	PanCancer	505	primary	PLEKHS1	ENSG00000148735	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Fredriksson	Nature Genetics	2014	No
510	25383969	PanCancer	505	primary	DPH3	ENSG00000154813	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Fredriksson	Nature Genetics	2014	No
511	25383969	GBM	27	primary	TERT	ENSG00000164362	SNV	promoter	NA	16	Yes	No	gene expression association	Wilcoxon rank-sum test	adult	GBM-US	NA	Carcinoma	Brain	Glioblastoma Multiforme	solid	GBM	TCGA	Nils	Fredriksson	Nature Genetics	2014	Yes
512	25383969	LGG	18	primary	TERT	ENSG00000164362	SNV	promoter	NA	11	Yes	No	gene expression association	Wilcoxon rank-sum test	adult	LGG-US	NA	Carcinoma	Brain	Lower Grade Glioma	solid	LGG	TCGA	Nils	Fredriksson	Nature Genetics	2014	Yes
513	25383969	THCA	34	primary	TERT	ENSG00000164362	SNV	promoter	NA	6	Yes	No	gene expression association	Wilcoxon rank-sum test	adult	THCA-US	NA	Carcinoma	Thyroid	Papillary Thyroid Carcinoma	solid	THCA	TCGA	Nils	Fredriksson	Nature Genetics	2014	Yes
514	26304545	PanCancer	760	primary	TERT	ENSG00000164362	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	Yes
515	26304545	PanCancer	760	primary	AGAP5	ENSG00000172650	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	No
516	26304545	PanCancer	760	primary	PROZ	ENSG00000126231	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	No
517	26304545	PanCancer	760	primary	LMO3	ENSG00000048540	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	No
518	26304545	PanCancer	760	primary	TP53	ENSG00000141510	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	Yes
519	26304545	PanCancer	760	primary	PRRC2B	ENSG00000130723	SNV	promoter	NA	NA	Yes	No	computational prediction	LARVA	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Lucas	Lochovsky	Nucleic Acids Research	2015	No
520	26200345	CLL	150	primary	NOTCH1	ENSG00000148400	SNV	3UTR	NA	4	Yes	No	computational prediction	recurrence	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
523	26200345	CLL	150	primary	PAX5	ENSG00000196092	SNV	enhancer	NA	17	Yes	No	computational prediction	recurrence	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
524	26200345	CLL	150	primary	PAX5	ENSG00000196092	SNV	enhancer	NA	17	Yes	No	gene expression association	Wilcoxon rank-sum test	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
521	26200345	CLL	150	primary	NOTCH1	ENSG00000148400	SNV	3UTR	NA	4	Yes	No	experimental validation	Immunohistochemistry	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
522	26200345	CLL	150	primary	NOTCH1	ENSG00000148400	SNV	3UTR	NA	4	Yes	No	experimental validation	novel splicing in RNA-seq	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
525	26200345	CLL	150	primary	PAX5	ENSG00000196092	SNV	enhancer	NA	17	Yes	No	experimental validation	CRISPR/Cas9	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Xose	Puente	Nature	2015	Yes
526	26053494	PanCancer	436	primary	TERT	ENSG00000164362	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	Yes
527	26053494	PanCancer	436	primary	PLEKHS1	ENSG00000148735	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	No
528	26053494	PanCancer	436	primary	C1orf159	ENSG00000131591	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	No
529	26053494	PanCancer	436	primary	PLCXD1	ENSG00000182378	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	No
531	26053494	PanCancer	436	primary	BCL11B	ENSG00000127152	SNV	enhancer	NA	NA	Yes	No	computational prediction	custom statistic test	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	Yes
530	26053494	PanCancer	436	primary	PLCXD1	ENSG00000182378	SNV	promoter	NA	2	Yes	No	gene expression association	bootstrap	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Collin	Melton	Nature Genetics	2015	No
532	26053494	lung	NA	primary	BCL11B	ENSG00000127152	SNV	enhancer	NA	NA	Yes	No	experimental validation	luciferase reporter assay	adult	none	NA	Carcinoma	Lung	Lung Adenocarcinoma	solid	LUAD	TCGA	Collin	Melton	Nature Genetics	2015	Yes
533	26053494	esophageal	NA	primary	BCL11B	ENSG00000127152	SNV	enhancer	NA	NA	Yes	No	experimental validation	luciferase reporter assay	adult	none	NA	Carcinoma	Esophagus	Esophageal Carcinoma	solid	ESCA	TCGA	Collin	Melton	Nature Genetics	2015	Yes
534	26053494	bladder	NA	primary	BCL11B	ENSG00000127152	SNV	enhancer	NA	NA	Yes	No	experimental validation	luciferase reporter assay	adult	none	NA	Carcinoma	Bladder	Bladder Urothelial Carcinoma	solid	BLCA	TCGA	Collin	Melton	Nature Genetics	2015	Yes
535	27135926	breast cancer	560	primary	WDR74	ENSG00000133316	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
536	27135926	breast cancer	560	primary	TBC1D12	ENSG00000108239	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
537	27135926	breast cancer	560	primary	PLEKHS1	ENSG00000148735	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
538	27135926	breast cancer	560	primary	PIGY	ENSG00000255072	SNV	promoter	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
539	27135926	breast cancer	560	primary	IRF2BP2	ENSG00000168264	SNV	3UTR	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
540	27135926	breast cancer	560	primary	MALAT1	ENSG00000251562	SNV	lncRNA	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
541	27135926	breast cancer	560	primary	NEAT1	ENSG00000245532	SNV	lncRNA	NA	NA	Yes	No	computational prediction	custom statistic test	adult	BRCA-UK	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Serena	Nik-Zainal	Nature	2016	No
795	27311963	BRCA	119	primary	RNF40	ENSG00000103549	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Loris	Mularoni	Genome Biology	2016	No
792	27311963	BRCA	119	primary	NANP	ENSG00000170191	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Loris	Mularoni	Genome Biology	2016	No
793	27311963	BRCA	119	primary	TP63	ENSG00000073282	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
794	27311963	BRCA	119	primary	PDP2	ENSG00000172840	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Breast	Breast Invasive Carcinoma	solid	BRCA	TCGA	Loris	Mularoni	Genome Biology	2016	No
687	27311963	CLL	28	primary	CDH8	ENSG00000150394	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Loris	Mularoni	Genome Biology	2016	No
686	27311963	CLL	28	primary	ZFP36L1	ENSG00000185650	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Loris	Mularoni	Genome Biology	2016	No
703	27311963	CLL	28	primary	PCDH15	ENSG00000150275	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Leukemia	Blood	Chronic Lymphoctytic Leukemia	liquid	CLL	TCGA	Loris	Mularoni	Genome Biology	2016	No
777	27311963	LIHC	88	primary	ZNF711	ENSG00000147180	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Liver	Liver Hepatocellular Carcinoma	solid	LIHC	TCGA	Loris	Mularoni	Genome Biology	2016	No
807	27311963	LIHC	88	primary	NEAT1	ENSG00000245532	SNV	lncRNA	NA	19	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Liver	Liver Hepatocellular Carcinoma	solid	LIHC	TCGA	Loris	Mularoni	Genome Biology	2016	No
710	27311963	LIHC	88	primary	TP53	ENSG00000141510	SNV	splice site	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Liver	Liver Hepatocellular Carcinoma	solid	LIHC	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
776	27311963	LIHC	88	primary	TCF4	ENSG00000196628	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Liver	Liver Hepatocellular Carcinoma	solid	LIHC	TCGA	Loris	Mularoni	Genome Biology	2016	No
709	27311963	LIHC	88	primary	STIM2	ENSG00000109689	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Liver	Liver Hepatocellular Carcinoma	solid	LIHC	TCGA	Loris	Mularoni	Genome Biology	2016	No
704	27311963	DLBC	48	primary	RYR2	ENSG00000198626	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
775	27311963	DLBC	48	primary	BCL6	ENSG00000113916	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
707	27311963	DLBC	48	primary	DMD	ENSG00000198947	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
705	27311963	DLBC	48	primary	KCNH5	ENSG00000140015	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
797	27311963	DLBC	48	primary	FOXP2	ENSG00000128573	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
708	27311963	DLBC	48	primary	COL4A2	ENSG00000134871	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
798	27311963	DLBC	48	primary	CADM2	ENSG00000175161	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Lymphoma	Lymphoid	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	liquid	DLBC	TCGA	Loris	Mularoni	Genome Biology	2016	No
